Date - Time,O3(ppm),SO2 (ppm),PM10(ug/m3),PM2.5(ug/m3),Temperatura (ºC),Humedad Relativa (%)
07-06-20,0.054,0.003,,17,33.88,36
07-06-20,0.05,0.0028,,10,33.27,35
07-06-20,0.045,0.0026,,25,31.7,39
07-06-20,0.039,0.0025,,18,30.36,45
07-06-20,0.034,0.0024,,6,29.67,47
07-06-20,0.031,0.0024,,,28.97,47
08-06-20,0.032,0,,2,28.34,49
08-06-20,0.031,0.0023,,13,27.42,53
08-06-20,0.027,0.0023,,6,26.6,56
08-06-20,0.02,0.0024,,5,25.83,59
08-06-20,0.017,0.0024,,18,24.86,63
08-06-20,0.016,0,,6,24.31,64
08-06-20,0.014,0.0026,,3,23.83,62
08-06-20,0.013,0.0042,,7,25.06,56
08-06-20,0.029,0.0041,,,26.91,43
08-06-20,0.037,0.0044,,7,29.59,35
08-06-20,0.04,0.0051,,9,31.85,35
08-06-20,0.052,0.0036,,17,32.15,38
08-06-20,0.065,0.0063,,19,33.45,35
08-06-20,0.094,0.0065,,19,34.27,33
08-06-20,0,0,,,,
08-06-20,0.093,0.007,,18,35.78,31
08-06-20,0.085,0.0048,,26,35.86,33
08-06-20,0.076,0.0036,,19,35.9,33
08-06-20,0.071,0.0032,,12,35.8,33
08-06-20,0.06,0.0031,,21,34.99,35
08-06-20,0.056,0.0028,,21,33.18,41
08-06-20,0.045,0.0027,,10,32.07,44
08-06-20,0.042,0.0027,,15,31.64,45
08-06-20,0.037,0.0026,,8,30.78,48
09-06-20,0.017,0.0043,,18,29.44,52
09-06-20,0.019,0.0046,,21,28.67,54
09-06-20,0.022,0.0031,,18,27.5,58
09-06-20,0.018,0.0029,,19,26.83,62
09-06-20,0.015,0.0028,,18,26.35,64
09-06-20,0.014,0.0039,,15,26.4,62
09-06-20,0.005,0.0087,,25,26.5,61
09-06-20,0.004,0.0057,,,26.54,64
09-06-20,0.008,0.0059,,15,27.63,58
09-06-20,0.015,0.0056,,14,30.74,49
09-06-20,0.025,0.0046,,,31.13,49
09-06-20,0.048,0.0045,,,32.12,48
09-06-20,0.082,0.0052,,,33.38,43
09-06-20,0.103,0.0042,,26,34.82,38
09-06-20,0.089,0.0038,,,34.35,40
09-06-20,0.038,0.0032,,29,33.93,42
09-06-20,0.041,0.0032,,15,34.22,41
09-06-20,0.073,0.0033,,16,35.12,40
09-06-20,0.056,0.003,,21,34.88,42
09-06-20,0.042,0.0035,,33,33.49,46
09-06-20,0.038,0.003,,16,31.75,46
09-06-20,0.042,0.0026,,,21.6,76
09-06-20,0.035,0.0024,,4,21.66,79
09-06-20,0.031,0.0024,,,23.77,68
10-06-20,0.028,0.0026,,,24.44,61
10-06-20,0.023,0.0027,,,24.62,58
10-06-20,0.023,0.0027,,2,24.38,57
10-06-20,0.023,0,,13,24.65,55
10-06-20,0.026,0.0029,,5,24.86,52
10-06-20,0.02,0.0036,,6,24.77,52
10-06-20,0.023,0.0037,,13,24.77,56
10-06-20,0.032,0.0028,,26,23.7,68
10-06-20,0.026,0.0026,,6,25.16,62
10-06-20,0.03,0.0028,,8,27.69,55
10-06-20,0.039,0.003,,11,30.97,42
10-06-20,0.051,0.0035,,18,32.74,34
10-06-20,0.06,0.0035,46,18,32.52,33
10-06-20,0.062,0.0027,36,22,30.33,41
10-06-20,0.066,0.0028,32,16,30.86,41
10-06-20,0.064,0.003,33,12,31.78,41
10-06-20,0.057,0.0027,41,17,31.68,41
10-06-20,0.055,0.0035,39,14,32.09,40
10-06-20,0.043,0.0033,39,,28.8,51
10-06-20,0.041,0.0027,53,18,26.74,56
10-06-20,0.04,0.0024,28,10,25.03,62
10-06-20,0.04,0.0024,25,10,25.3,61
10-06-20,0.037,0.0023,22,6,25.6,62
10-06-20,0.033,0.0023,31,7,24.95,63
11-06-20,0.023,0.0026,20,12,25.04,64
11-06-20,0.026,0.0031,49,17,24.55,66
11-06-20,0.03,0.0031,41,3,24.59,65
11-06-20,0.028,0,37,20,23.99,70
11-06-20,0.032,0.0028,32,16,23.85,71
11-06-20,0.032,0.0025,45,5,24.11,70
11-06-20,0.025,0.0025,28,15,24.06,70
11-06-20,0.011,0.0029,38,34,23.98,74
11-06-20,0.022,0.0026,45,6,21.76,78
11-06-20,0.022,0.0025,33,2,21.04,81
11-06-20,0.022,0.0024,35,2,21.87,80
11-06-20,0.021,0.0025,17,8,23.24,77
11-06-20,0.031,0.0029,37,2,25.44,68
11-06-20,0.037,0.0033,54,22,25.52,69
11-06-20,0.042,0.0044,45,17,26.77,63
11-06-20,0.041,0.0043,53,15,26.93,61
11-06-20,0.038,0.0035,52,17,26.02,60
11-06-20,0.035,0.0027,37,24,23.11,67
11-06-20,0.032,0.0025,22,9,23.21,68
11-06-20,0.034,0.0024,21,,24.23,60
11-06-20,0.035,0.0024,24,3,24.55,57
11-06-20,0.029,0.0023,26,12,23.84,61
11-06-20,0.008,0.0027,41,22,23.06,68
11-06-20,0.006,0.0027,50,8,22.64,70
12-06-20,0.007,0.0028,63,18,22.42,71
12-06-20,0.003,0.0027,60,32,21.96,74
12-06-20,0.011,0.0028,61,11,21.75,74
12-06-20,0.009,0.0033,44,9,21.74,74
12-06-20,0.01,0.0035,60,27,21.51,75
12-06-20,0.012,0.0033,64,21,21.32,76
12-06-20,0.007,0.0037,66,17,21.24,76
12-06-20,0.008,0.0036,59,15,21.65,76
12-06-20,0.011,0.0042,56,2,23.11,71
12-06-20,0.019,0.0047,67,12,24.34,65
12-06-20,0.035,0.0046,62,17,25.13,61
12-06-20,0.047,0.0046,51,11,25.79,57
12-06-20,0.056,0.0056,45,5,26.94,48
12-06-20,0.071,0.0081,47,4,27.71,42
12-06-20,0.071,0.007,52,18,28.16,40
12-06-20,0.07,0.0057,46,11,28.58,38
12-06-20,0.068,0.006,42,14,29.12,39
12-06-20,0.064,0.0053,44,15,29.5,37
12-06-20,0.066,0.0045,43,13,29.14,36
12-06-20,0.062,0.0036,33,16,28.52,37
12-06-20,0.06,0.0032,32,13,27.41,37
12-06-20,0.054,0.0031,28,11,26.58,38
12-06-20,0.05,0.0033,27,8,25.62,41
12-06-20,0.049,0.0033,28,4,25.13,44
13-06-20,0.048,0.0029,28,5,24.41,45
13-06-20,0.048,0.0027,29,3,24,46
13-06-20,0.041,0.0033,26,3,23.25,53
13-06-20,0.036,0.0052,27,2,22.37,60
13-06-20,0.034,0.0044,32,22,21.66,63
13-06-20,0.038,0.0039,28,6,21.43,63
13-06-20,0.043,0.003,24,14,21.45,62
13-06-20,0.035,0.0028,30,9,21.69,63
13-06-20,0.044,0.0028,31,23,23.24,53
13-06-20,0.055,0.0026,41,14,24.06,48
13-06-20,0.058,0.0027,23,9,25.12,41
13-06-20,0.068,0.003,36,9,25.92,38
13-06-20,0.078,0.0042,30,11,26.79,34
13-06-20,0.086,0.0047,31,16,27.78,30
13-06-20,0.095,0.0037,43,20,28.41,26
13-06-20,0.099,0.0042,47,20,28.97,27
13-06-20,0.1,0.0044,46,18,29.38,27
13-06-20,0.096,0.0035,41,25,29.42,27
13-06-20,0.085,0.0032,29,24,29.35,30
13-06-20,0.078,0.003,32,19,28.53,32
13-06-20,0.07,0.0028,33,28,27.31,33
13-06-20,0.062,0.003,20,19,26.64,34
13-06-20,0.062,0.0042,28,14,25.92,36
13-06-20,0.06,0.0044,33,10,25.33,38
14-06-20,0.065,0.0046,27,2,24.83,40
14-06-20,0.051,0.0043,33,15,23.84,48
14-06-20,0.041,0.0043,45,31,21.79,64
14-06-20,0.047,0.0045,35,12,21.73,62
14-06-20,0.051,0.0032,31,2,21.34,64
14-06-20,0.052,0.0028,23,11,21.14,65
14-06-20,0.048,0.0026,18,,20.81,67
14-06-20,0.042,0.0026,28,26,20.9,67
14-06-20,0.048,0.0032,25,7,23.17,59
14-06-20,0.059,0.0036,32,7,24.46,49
14-06-20,0.059,0.0044,31,10,25.63,44
14-06-20,0.071,0.0046,24,5,26.42,40
14-06-20,0.079,0.0042,28,17,27.47,36
14-06-20,0.085,0.0036,33,19,28.03,32
14-06-20,0.086,0.0038,24,15,28.56,30
14-06-20,0.086,0.0041,36,13,29.13,28
14-06-20,0.094,0.0037,33,27,29.74,27
14-06-20,0.089,0.003,32,17,29.6,28
14-06-20,0.077,0.0028,34,9,29.47,30
14-06-20,0.076,0.0046,21,,28.57,30
14-06-20,0.071,0.0056,34,18,27.89,29
14-06-20,0.069,0.0052,29,21,27.18,31
14-06-20,0.067,0.0051,31,10,26.35,36
14-06-20,0.06,0.004,37,11,25.97,36
15-06-20,0.052,0.0033,29,5,25.18,39
15-06-20,0.055,0.0027,21,,24.47,42
15-06-20,0.051,0.0026,18,,23.59,50
15-06-20,0.043,0.0027,24,12,22.7,56
15-06-20,0.031,0.0035,22,15,21.34,69
15-06-20,0.029,0.0039,29,15,21.06,71
15-06-20,0.024,0.0036,35,23,20.81,72
15-06-20,0.02,0.0038,37,22,21.6,70
15-06-20,0.017,0.0041,45,11,23.1,66
15-06-20,0.024,0.0045,51,9,24.14,61
15-06-20,0.037,0.0045,64,27,25.4,55
15-06-20,0.053,0.0043,53,13,26.44,50
15-06-20,0.054,0.0035,51,6,27.13,47
15-06-20,0.051,0.0028,40,23,27.51,45
15-06-20,0.049,0.0027,37,14,27.69,46
15-06-20,0.052,0.0026,42,30,29.18,42
15-06-20,0.052,0.0025,26,24,29.43,42
15-06-20,0.051,0.0025,44,38,29.32,42
15-06-20,0.049,0,28,21,28.84,43
15-06-20,0.048,0.0024,40,12,28.63,43
15-06-20,0.048,0.0024,41,23,28.01,43
15-06-20,0.047,0,20,6,27.51,43
15-06-20,0.048,0,24,18,27.03,43
15-06-20,0.046,0,32,,26.69,45
16-06-20,0.038,0.0023,29,6,25.42,53
16-06-20,0.032,0.0023,32,,24.31,62
16-06-20,0.028,0,13,,23.64,66
16-06-20,0.024,0,37,15,22.92,70
16-06-20,0.011,0.0029,34,14,22.26,74
16-06-20,0.009,0.0032,32,24,21.7,78
16-06-20,0.008,0.0031,35,13,21.6,79
16-06-20,0.006,0.003,32,4,21.68,79
16-06-20,0.009,0.0032,37,3,23.42,74
16-06-20,0.019,0.0033,28,,24.9,64
16-06-20,0.023,0.0035,41,,25.18,61
16-06-20,0.034,0.0035,46,24,26.54,56
16-06-20,0.043,0.0037,50,39,27.51,52
16-06-20,0.04,0.003,48,8,28.74,47
16-06-20,0.038,0.0027,37,13,29.63,46
16-06-20,0.035,0.0025,45,18,30.07,46
16-06-20,0.036,0.0025,43,9,30.47,45
16-06-20,0.038,0.0024,47,10,30.79,42
16-06-20,0.035,0.0024,40,3,30.66,40
16-06-20,0.031,0,27,20,30.09,41
16-06-20,0.027,0.0023,28,15,29.15,43
16-06-20,0.021,0.0025,17,,27.69,53
16-06-20,0.018,0.0026,46,25,26.58,60
16-06-20,0.021,0.0025,17,2,26.01,63
17-06-20,0.022,0.0024,29,8,25.41,66
17-06-20,0.021,0.0023,20,,24.83,69
17-06-20,0.02,0.0023,13,,24.41,71
17-06-20,0.018,0,23,2,24.17,71
17-06-20,0.013,0,23,13,23.69,74
17-06-20,0.005,0.0029,23,9,23.27,77
17-06-20,0.002,0.0032,27,,22.71,79
17-06-20,0.004,0.0031,46,,22.71,80
17-06-20,0.004,0.0035,42,14,23.21,78
17-06-20,0.008,0.0036,48,,24.7,73
17-06-20,0.012,0.0033,44,3,25.62,67
17-06-20,0.016,0.0044,57,36,25.9,65
17-06-20,0.027,0.004,43,10,26.89,61
17-06-20,0.043,0.0036,57,17,27.9,57
17-06-20,0.053,0.0033,68,5,28.72,54
17-06-20,0.044,0.0029,54,7,29.87,50
17-06-20,0.036,0.0027,42,,30.72,45
17-06-20,0.035,0.0025,29,13,31.1,44
17-06-20,0.037,0.0025,29,23,31.29,45
17-06-20,0.036,0.0024,34,12,30.66,47
17-06-20,0.028,0.0024,32,14,29.5,49
17-06-20,0.025,0.0023,25,4,28.9,50
17-06-20,0.019,0.0024,29,16,28.19,55
17-06-20,0.018,0.0023,45,37,27.08,61
18-06-20,0.014,0.0024,25,,26.13,67
18-06-20,0.015,0.0025,20,10,25.5,70
18-06-20,0.012,0.0025,13,,24.84,73
18-06-20,0.006,0.0027,47,14,24.07,77
18-06-20,0.004,0.0033,32,20,23.8,78
18-06-20,0.007,0.0029,54,13,23.47,79
18-06-20,0.005,0.0027,40,24,23.22,80
18-06-20,0.004,0.0027,39,9,23.18,81
18-06-20,0.005,0.0032,52,15,24.65,78
18-06-20,0.01,0.0036,49,2,27.09,66
18-06-20,0.021,0.0033,61,18,27.51,62
18-06-20,0.038,0.0029,60,31,28.37,59
18-06-20,0.059,0.0032,77,38,29.15,55
18-06-20,0.071,0.0041,88,25,30.19,52
18-06-20,0.086,0.004,78,22,31.04,50
18-06-20,0.068,0.0038,68,21,31.57,48
18-06-20,0.045,0.0029,64,25,31.64,46
18-06-20,0.037,0.0026,43,7,31.32,47
18-06-20,0.036,0.0025,43,17,30.96,48
18-06-20,0.037,0.0025,22,,31.53,43
18-06-20,0.032,0.0024,28,,30.24,45
18-06-20,0.03,0.0023,31,17,28.74,53
18-06-20,0.028,0.0024,35,25,23.41,70
18-06-20,0.027,0.0024,83,12,22.83,76
19-06-20,0.029,0,36,,23.15,71
19-06-20,0.016,0.0029,24,11,23.03,74
19-06-20,0.022,0.0036,69,11,23.98,68
19-06-20,0.017,0.0038,43,20,23.63,69
19-06-20,0.012,0.0038,32,9,21.97,72
19-06-20,0.019,0.0037,32,12,21.07,75
19-06-20,0.012,0.0036,33,5,21.23,74
19-06-20,0.009,0.0038,48,13,22.05,73
19-06-20,0.015,0.0045,74,11,24.17,66
19-06-20,0.017,0.005,59,16,24.96,64
19-06-20,0.028,0.0057,55,6,26.28,58
19-06-20,0.036,0.007,51,15,27.75,54
19-06-20,0.051,0.0055,58,27,28.69,52
19-06-20,0.073,0.0042,67,26,29.36,51
19-06-20,0.074,0.0053,95,34,29.89,50
19-06-20,0.057,0.004,94,26,30.71,50
19-06-20,0.05,0.0033,50,,31.66,44
19-06-20,0.043,0.0027,29,4,31.67,44
19-06-20,0.039,0.0026,32,29,31.42,46
19-06-20,0.039,0.0025,26,8,30.63,48
19-06-20,0.032,0.0024,33,31,28.56,56
19-06-20,0.027,0.0024,53,22,26.88,61
19-06-20,0.022,0.0025,26,,25.82,64
19-06-20,0.02,0.0029,40,24,24.61,69
20-06-20,0.017,0.004,26,11,24.02,72
20-06-20,0.019,0.0038,34,27,24.02,73
20-06-20,0.02,0.003,43,7,24.01,73
20-06-20,0.02,0.0028,25,8,23.93,74
20-06-20,0.017,0.0027,29,18,23.69,76
20-06-20,0.013,0.0026,33,21,23.66,76
20-06-20,0.01,0.0028,33,13,23.84,75
20-06-20,0.004,0.0027,43,14,23.72,78
20-06-20,0.004,0.003,45,8,23.89,78
20-06-20,0.006,0.0037,53,15,24.79,75
20-06-20,0.01,0.0034,48,24,25.06,71
20-06-20,0.018,0.0029,72,21,25.8,69
20-06-20,0.038,0.0029,62,3,28.03,60
20-06-20,0.054,0.0031,49,25,28.67,55
20-06-20,0.067,0.0037,59,26,29.43,53
20-06-20,0.069,0.0034,55,27,30.56,49
20-06-20,0.052,0.0028,50,12,31.35,47
20-06-20,0.046,0.0026,28,5,31.56,45
20-06-20,0.042,0.0025,32,5,31.26,45
20-06-20,0.04,0.0024,24,15,30.8,47
20-06-20,0.033,0.0024,30,21,29.63,50
20-06-20,0.028,0,32,21,28.91,54
20-06-20,0.022,0.0023,34,14,28.14,58
20-06-20,0.014,0.0024,48,24,26.66,68
21-06-20,0.012,0.0024,41,4,26.07,70
21-06-20,0.006,0.0028,49,15,25.31,73
21-06-20,0.005,0.0031,53,12,24.81,75
21-06-20,0.007,0.0027,57,12,24.58,77
21-06-20,0.006,0.003,43,6,24.61,76
21-06-20,0.008,0.0035,46,6,24.95,73
21-06-20,0.002,0.0029,41,28,24.41,77
21-06-20,0.003,0.0029,65,14,24.1,79
21-06-20,0.006,0.0031,55,4,25.2,77
21-06-20,0.013,0.0032,48,,26.38,70
21-06-20,0.026,0.0031,79,8,28.14,62
21-06-20,0.037,0.0038,64,12,29.45,56
21-06-20,0.057,0.0055,55,18,30.5,51
21-06-20,0.079,0.0056,51,22,31.36,48
21-06-20,0.083,0.0062,73,27,32.25,45
21-06-20,0.064,0.0047,63,21,32.6,44
21-06-20,0.044,0.0032,45,18,32.89,45
21-06-20,0.042,0.0028,26,9,33.09,43
21-06-20,0.041,0.0026,20,11,32.96,43
21-06-20,0.038,0.0025,23,,31.65,48
21-06-20,0.036,0.0025,33,17,30.35,50
21-06-20,0.034,0,36,14,30.33,46
21-06-20,0.031,0,28,4,29.65,49
21-06-20,0.021,0.0027,36,13,28.62,55
22-06-20,0.011,0.0042,45,31,26.63,66
22-06-20,0.011,0.004,67,13,26.3,67
22-06-20,0.01,0.0033,54,11,25.61,71
22-06-20,0.008,0.0026,35,27,24.61,76
22-06-20,0.004,0.0027,44,11,24.2,78
22-06-20,0.004,0.003,57,6,23.98,79
22-06-20,0.002,0.003,43,2,23.88,79
22-06-20,0.004,0,48,12,24.09,78
22-06-20,0.013,0.0043,38,,26.34,66
22-06-20,0.023,0.0054,50,8,28.57,56
22-06-20,0.027,0.0048,53,21,29.55,53
22-06-20,0.042,0.0036,77,38,29.49,55
22-06-20,0.062,0.0042,84,33,30.56,50
22-06-20,0.094,0.0053,95,15,31.95,43
22-06-20,0.112,0.0053,84,15,33.56,40
22-06-20,0.103,0.0046,75,17,33.75,40
22-06-20,0.086,0.0058,75,43,33.82,39
22-06-20,0.069,0.0043,88,26,34.25,39
22-06-20,0.061,0.0033,60,24,34.07,37
22-06-20,0.046,0.0028,27,19,33.04,38
22-06-20,0.043,0.0027,32,19,32.16,40
22-06-20,0.036,0.0026,27,15,31.27,44
22-06-20,0.029,0.0025,35,15,30.43,49
22-06-20,0.014,0.0027,41,19,28.38,58
23-06-20,0.013,0.0032,60,19,27.43,61
23-06-20,0.01,0.0034,63,56,26.49,66
23-06-20,0.007,0.0036,39,,25.7,70
23-06-20,0.007,0.0037,60,28,25.02,73
23-06-20,0.007,0.0029,71,21,24.51,75
23-06-20,0.005,0.0027,58,14,24.08,76
23-06-20,0.004,0.0028,65,20,23.94,76
23-06-20,0.006,0.0028,69,14,24.53,76
23-06-20,0.006,0.0027,74,,25.41,73
23-06-20,0.013,0.0029,73,15,26.89,67
23-06-20,0.026,0.0036,72,25,29.24,55
23-06-20,0.04,0.0034,75,30,30.07,54
23-06-20,0.08,0.0032,82,50,30.26,53
23-06-20,0.071,0.0038,87,26,30.95,49
23-06-20,0.06,0.0038,82,21,31.93,45
23-06-20,0.05,0.0031,62,16,32.89,40
23-06-20,0.05,0.0033,50,26,32.99,41
23-06-20,0.044,0.0047,59,37,32.57,42
23-06-20,0.035,0.0045,77,50,32.26,42
23-06-20,0.035,0.0041,52,27,31.68,42
23-06-20,0.032,0.0037,49,15,30.97,43
23-06-20,0.03,0.0031,55,13,30.4,45
23-06-20,0.029,0.0028,55,5,29.93,47
23-06-20,0.019,0.003,46,,28.75,58
24-06-20,0.022,0.0033,86,26,27.94,60
24-06-20,0.014,0.0031,55,51,26.85,67
24-06-20,0.012,0.0032,52,49,25.86,71
24-06-20,0.012,0.0042,56,18,25.26,70
24-06-20,0.016,0.0035,72,7,24.91,69
24-06-20,0.011,0.0033,50,16,24.62,70
24-06-20,0.01,0.0037,58,25,24.35,72
24-06-20,0.011,0.0033,74,,24.45,72
24-06-20,0.014,0.003,60,,25.98,67
24-06-20,0.02,0.003,55,37,27.36,62
24-06-20,0.031,0.0031,65,12,29.43,56
24-06-20,0.04,0.0034,74,19,29.61,53
24-06-20,0.053,0.0036,72,24,30.62,48
24-06-20,0.067,0.0039,71,8,31.56,42
24-06-20,0.061,0.0047,72,8,31.38,40
24-06-20,0.056,0.0075,67,59,31,41
24-06-20,0.056,0.0074,69,14,31.52,39
24-06-20,0.05,0.0059,54,,31.04,39
24-06-20,0,0,,,,
24-06-20,0.03,0.0057,191,18,28.8,42
24-06-20,0.035,0.0038,71,43,26.15,54
24-06-20,0.037,0.0028,258,35,22.26,68
24-06-20,0.035,0.0027,39,16,22.08,68
24-06-20,0.035,0.0025,21,18,21.14,72
25-06-20,0.035,0.0029,20,,22.35,66
25-06-20,0.028,0.0031,23,8,22.31,67
25-06-20,0.021,0.0034,30,8,22.37,63
25-06-20,0.013,0.003,56,25,21.66,70
25-06-20,0.003,0.0031,50,23,21.08,75
25-06-20,0.007,0.0034,54,7,20.97,76
25-06-20,0.007,0.0034,27,7,20.9,74
25-06-20,0.012,0.0035,36,19,21.71,71
25-06-20,0.014,0.0047,31,12,22.77,68
25-06-20,0.024,0.0072,86,25,26.06,55
25-06-20,0.032,0.006,59,10,27.12,49
25-06-20,0.043,0.0052,46,26,27.39,48
25-06-20,0.05,0.005,60,27,27.78,49
25-06-20,0.063,0.005,62,,28.62,48
25-06-20,0.059,0.0065,82,15,29.38,45
25-06-20,0.063,0.0076,79,45,29.78,44
25-06-20,0.055,0.0053,90,51,30.15,44
25-06-20,0.052,0.0042,64,22,30.45,42
25-06-20,0.04,0.0034,40,32,30.31,43
25-06-20,0.038,0.0033,47,20,29.16,49
25-06-20,0.03,0.0029,53,45,26.84,61
25-06-20,0.029,0.0026,59,19,25.5,66
25-06-20,0.03,0.0025,20,10,24.83,67
25-06-20,0.026,0.0025,27,2,24.2,69
26-06-20,0.025,0.0024,32,,23.7,73
26-06-20,0.018,0.0025,39,20,23.43,74
26-06-20,0.017,0.0025,28,10,22.8,76
26-06-20,0.014,0.0026,32,,22.54,78
26-06-20,0.008,0.0033,38,19,22.29,79
26-06-20,0.01,0.0031,46,,22.2,79
26-06-20,0.014,0.0029,41,12,22.42,78
26-06-20,0.007,0.0028,20,8,22.5,77
26-06-20,0.01,0.0028,40,4,23.31,76
26-06-20,0.011,0.0031,49,20,24.48,71
26-06-20,0.017,0.0032,43,7,25.8,65
26-06-20,0.019,0.0036,45,30,25.97,63
26-06-20,0.038,0.0037,73,13,27.46,57
26-06-20,0.046,0.0033,52,26,27.93,55
26-06-20,0.038,0.0031,51,4,27.9,57
26-06-20,0.033,0.0028,39,15,28.04,57
26-06-20,0.029,0.0025,36,26,27.77,59
26-06-20,0.03,0.0025,26,16,27.85,59
26-06-20,0.028,0.0024,32,4,27.8,60
26-06-20,0.026,0.0024,27,12,27.04,63
26-06-20,0.023,0.0023,31,18,26.37,66
26-06-20,0.021,0.0023,40,14,25.74,69
26-06-20,0.021,0,32,14,25.1,70
26-06-20,0.022,0,36,21,24.56,71
27-06-20,0.019,0,51,22,24.08,74
27-06-20,0.016,0,46,41,24,75
27-06-20,0.013,0,65,19,23.84,76
27-06-20,0.012,0.0026,61,34,23.9,76
27-06-20,0.013,0.0026,58,48,23.85,76
27-06-20,0.009,0.0025,67,28,23.75,77
27-06-20,0.005,0.0027,83,71,23.62,79
27-06-20,0.006,0.0024,163,89,23.42,81
27-06-20,0.006,0.0027,170,66,24.3,79
27-06-20,0.012,0.0027,171,95,26.08,72
27-06-20,0.014,0,167,88,26.12,70
27-06-20,0.022,0,211,120,26.47,68
27-06-20,0.022,0.003,241,112,26.44,67
27-06-20,0.035,0.0032,221,84,27.67,63
27-06-20,0.052,0.0034,191,120,27.96,61
27-06-20,0.061,0.0035,207,106,27.75,61
27-06-20,0.053,0.0027,199,114,25.79,70
27-06-20,0.032,0.0027,107,33,24.92,67
27-06-20,0.034,0.0028,51,21,26,63
27-06-20,0.032,0.0027,35,7,25.65,64
27-06-20,0.022,0.0028,35,15,25.44,65
27-06-20,0.021,0.0025,44,28,25.03,67
27-06-20,0.016,0.0025,33,4,24.22,72
27-06-20,0.014,0.0026,39,2,24.36,70
28-06-20,0.013,0.0025,51,49,24.54,70
28-06-20,0.011,0.0029,73,34,23.96,74
28-06-20,0.016,0.0026,57,6,23.12,78
28-06-20,0.013,0.0024,40,25,22.59,80
28-06-20,0.013,0.0025,40,34,22.34,81
28-06-20,0.012,0.0026,43,4,22.43,81
28-06-20,0.011,0.0025,39,17,22.41,81
28-06-20,0.009,0.0025,40,16,23.21,79
28-06-20,0.013,0.0026,39,28,24.8,75
28-06-20,0.018,0.0029,60,25,26.64,67
28-06-20,0.025,0.0034,52,43,28,60
28-06-20,0.036,0.0038,49,14,30.37,48
28-06-20,0.051,0.0035,25,25,31.66,42
28-06-20,0.082,0.0031,21,21,32.18,42
28-06-20,0.075,0.003,39,27,32.67,41
28-06-20,0.054,0.0027,16,,33.48,37
28-06-20,0.045,0.0026,25,,33.04,36
28-06-20,0.044,0.0025,12,12,32.82,40
28-06-20,0.038,0.0024,35,,32.01,45
28-06-20,0.031,0.0024,68,36,31.26,48
28-06-20,0.027,0,71,48,30.08,53
28-06-20,0.027,0,82,43,29.26,54
28-06-20,0.025,0.0023,72,32,28.69,56
28-06-20,0.023,0.0023,65,41,28,61
29-06-20,0.022,0,69,19,27.26,63
29-06-20,0.009,0.0026,66,29,26.42,66
29-06-20,0.008,0.0029,79,23,25.66,69
29-06-20,0.006,0.0031,104,29,25.32,72
29-06-20,0.01,0.0027,86,43,25.04,75
29-06-20,0.007,0.0027,79,41,25.09,76
29-06-20,0.005,0.0026,94,36,24.96,76
29-06-20,0.005,0.0026,89,27,25.08,75
29-06-20,0.019,0.0033,45,,27.27,57
29-06-20,0.024,0.0032,41,8,29.86,48
29-06-20,0.017,0.0031,51,40,29.73,57
29-06-20,0.037,0.0031,104,34,30.15,55
29-06-20,0.053,0,108,20,32.52,46
29-06-20,0.052,0.003,104,23,33.28,38
29-06-20,0.046,0.0026,49,33,31.87,46
29-06-20,0.047,0.0025,78,46,30.5,55
29-06-20,0.039,0.0025,47,11,27.52,58
29-06-20,0.033,0.0036,41,13,27.93,57
29-06-20,0.04,0.0037,36,2,30.42,50
29-06-20,0.035,0.0028,40,29,31.01,54
29-06-20,0.03,0.0025,44,34,29.42,56
29-06-20,0.023,0.0024,39,16,28.63,57
29-06-20,0.022,0.0024,35,15,27.71,59
29-06-20,0.015,0.0023,38,28,27.43,63
30-06-20,0.016,0.0024,61,12,26.86,64
30-06-20,0.011,0.0024,36,,26.1,71
30-06-20,0.009,0,56,40,25.25,76
30-06-20,0.007,0.0025,93,30,24.71,78
30-06-20,0.008,0.0027,95,19,24.29,79
30-06-20,0.01,0.0026,53,20,23.94,79
30-06-20,0.007,0.0025,86,34,23.74,79
30-06-20,0.005,0.0024,101,29,23.67,79
30-06-20,0.004,0.0024,105,35,23.89,79
30-06-20,0.006,0.0025,110,26,24.68,77
30-06-20,0.013,0.0026,112,24,26.77,69
30-06-20,0.023,0.0026,80,40,27.64,64
30-06-20,0.041,0.0028,97,58,28.59,61
30-06-20,0,0,,,,
30-06-20,0.065,0.0036,91,64,28.81,60
30-06-20,0.059,0.0031,110,65,28.54,63
30-06-20,0.043,0.0028,156,57,28.9,64
30-06-20,0.042,0.0026,67,38,29.28,61
30-06-20,0.031,0.0025,72,23,29.13,60
30-06-20,0.027,0.0025,82,26,29.37,59
30-06-20,0.025,0.0024,60,34,28.83,62
30-06-20,0.022,0.0024,68,31,28.52,64
30-06-20,0.018,0.0023,69,27,27.71,67
30-06-20,0.019,0.0023,59,19,27.19,67
