Lon,Lat,Clave,Edo,Est,Tmax
-110.34,27.4,BLOCK731,SON,Block 731 Son. REMAS*,24.72258065
-110.1,27.42,BLOCK609,SON,Block-609 Son. INIFAP*,25.79032258
-110.22,27.46,BLOCK419,SON,Block 419 Son. REMAS*,25.72580645
-109.13,27.47,ALGODONES,SON,Los Algodones Son. REMAS*,27.71935484
-110.12,27.51,BLOCK111,SON,Block-111 Son. INIFAP*,25.34193548
-110.01,27.55,IFPREDIOELJAZMI,SON,Predio El JazmÌn Son. INIFAP*,25.74347826
-109.93,27.62,CORRAL,SON,EstaciÛn Corral  Son. REMAS*,26.71612903
-110.41,27.63,POTAMR,SON,PÛtam Son. REMAS*,24.29354839
-110.29,27.64,VCMSO,SON,VÌcam Son.,26.37096774
-109.4,27.85,ROSARIO,SON,Rosario Tesopaco Son. REMAS*,26.60166667
-110.8,27.95,EMPALMEob,SON,Observatorio de Empalme Son. SMN*,24.59166667
-110.55,28,CAMPO,SON,Campo Selza Son. REMAS*,26.09354839
-110.93,28,BUENOS,SON,Buenos Aires Gym Son. REMAS*,24.89032258
-110.66,28.12,SANTAMARIA,SON,Santa MarÌa Son. REMAS*,26.08064516
-110.66,28.3,ORTIZ,SON,OrtÌz Son. REMAS*,26.39677419
-111.25,28.31,SAHUARALA,SON,Sahuaral Son. INIFAP*,23.49677419
-109.01,28.33,YECORAS,SON,YÈcora Son. REMAS*,15.53225806
-110.51,28.37,TREINTA,SON,Las Treinta Son. REMAS*,25.91612903
-109.89,28.42,SUAQUI,SON,Suaqui Grande Son. REMAS*,27.15
-111.36,28.56,CUICHI,SON,Cuichi Son. REMAS*,23.92258065
-111.56,28.61,PERICOI,SON,Perico I Son. INIFAP*,23.60967742
-111.32,28.68,PEANA,SON,PeaÒa Son. REMAS*,24.07096774
-111.65,28.69,KINO,SON,Kino Son. REMAS*,23.89677419
-111.47,28.74,FATIMA,SON,El Milagro de F·tima Son. REMAS*,24.15806452
-111.36,28.79,ELBERVANO,SON,El Bervano Son. INIFAP*,24.12258065
