# yaer,month,day,tmin,tmax,tmean
2020,6,20,29.4,NaN,NaN
2020,6,21,28.1,22.8,25.45
2020,6,22,31.2,22.8,27
2020,6,23,31.2,NaN,NaN
2020,6,24,31.4,25.3,28.35
2020,6,25,31.7,26,28.85
2020,6,26,29.9,25.5,27.7
2020,6,27,28.6,NaN,NaN
2020,6,28,27.9,23.8,25.85
2020,6,29,30.3,24.5,27.4
2020,6,30,30.9,NaN,NaN
2020,7,1,28.3,24.3,26.3
2020,7,2,27.8,24.9,26.35
2020,7,3,30.3,24.2,27.25
2020,7,4,27.6,22.6,25.1
2020,7,5,28.7,23.1,25.9
2020,7,6,30,23.9,26.95
2020,7,7,28.7,24.5,26.6
2020,7,8,28.6,NaN,NaN
2020,7,9,29.9,24,26.95
2020,7,10,27.2,NaN,NaN
2020,7,11,28.4,22.9,25.65
2020,7,12,28.2,23.6,25.9
2020,7,13,30.6,23.5,27.05
2020,7,14,27.7,NaN,NaN
2020,7,15,30.3,22.1,26.2
2020,7,16,27.7,NaN,NaN
2020,7,17,29,23.6,26.3
2020,7,18,29.9,24.7,27.3
2020,7,19,30.2,25.4,27.8
2020,7,20,24.7,NaN,NaN
2020,7,21,29,NaN,NaN
2020,7,22,26.8,21.8,24.3
2020,7,23,28.9,23.2,26.05
2020,7,24,27.6,24,25.8
2020,7,25,27.6,23.6,25.6
2020,7,26,28.4,23.7,26.05
2020,7,27,28.7,NaN,NaN
2020,7,28,30.5,24,27.25
2020,7,29,30.9,24.9,27.9
2020,7,30,28.4,NaN,NaN
2020,7,31,30.3,NaN,NaN
2020,8,1,31.2,NaN,NaN
2020,8,2,32,26.4,29.2
2020,8,3,27.8,22.2,25
2020,8,4,30.9,22.8,26.85
2020,8,5,29.9,23.9,26.9
2020,8,6,29,NaN,NaN
2020,8,7,30.4,23.8,27.1
2020,8,8,NaN,NaN,NaN
2020,8,9,NaN,NaN,NaN
2020,8,10,NaN,NaN,NaN
2020,8,11,NaN,NaN,NaN
2020,8,12,NaN,NaN,NaN
2020,8,13,NaN,NaN,NaN
2020,8,14,NaN,NaN,NaN
2020,8,15,NaN,NaN,NaN
2020,8,16,NaN,NaN,NaN
2020,8,17,NaN,NaN,NaN
2020,8,18,NaN,NaN,NaN
