# Local Datetime (mm,dd,yyyy HH,mm),UTC Datetime (mm,dd,yyyy HH,mm),O3 (ppb),PM10 (µg,m3),PM2.5 (µg,m3),Temperature (ºC),Relative humidity (%),Barometric pressure (mBar),Wind speed (m,s),Wind direction (degree)
3,1,20,10,0,3,1,20,16,0,0.021,NaN,4,18.03,46,NaN,NaN,NaN,NaN
3,1,20,11,0,3,1,20,17,0,0.032,NaN,16,21.29,32,NaN,NaN,NaN,NaN
3,1,20,12,0,3,1,20,18,0,0.034,NaN,14,21.28,31,NaN,NaN,NaN,NaN
3,1,20,13,0,3,1,20,19,0,0.036,NaN,12,21.71,29,NaN,NaN,NaN,NaN
3,1,20,14,0,3,1,20,20,0,0.037,NaN,15,21.8,27,NaN,NaN,NaN,NaN
3,1,20,15,0,3,1,20,21,0,0.039,NaN,38,22.01,25,NaN,NaN,NaN,NaN
3,1,20,16,0,3,1,20,22,0,0.04,NaN,NaN,22.12,23,NaN,NaN,NaN,NaN
3,1,20,17,0,3,1,20,23,0,0.038,NaN,NaN,22.2,23,NaN,NaN,NaN,NaN
3,1,20,18,0,4,1,20,0,0,0.036,NaN,NaN,21.32,24,NaN,NaN,NaN,NaN
3,1,20,19,0,4,1,20,1,0,0.028,NaN,NaN,19.49,28,NaN,NaN,NaN,NaN
3,1,20,20,0,4,1,20,2,0,0.033,NaN,NaN,18.06,28,NaN,NaN,NaN,NaN
3,1,20,21,0,4,1,20,3,0,0.029,NaN,NaN,16.63,32,NaN,NaN,NaN,NaN
3,1,20,22,0,4,1,20,4,0,0.031,NaN,NaN,16.07,34,NaN,NaN,NaN,NaN
3,1,20,23,0,4,1,20,5,0,0.028,NaN,NaN,14.63,41,NaN,NaN,NaN,NaN
4,1,20,0,0,4,1,20,6,0,0.02,NaN,3,13.36,46,NaN,NaN,NaN,NaN
4,1,20,1,0,4,1,20,7,0,0.016,NaN,8,11.53,54,NaN,NaN,NaN,NaN
4,1,20,2,0,4,1,20,8,0,0.012,NaN,14,10.6,61,NaN,NaN,NaN,NaN
4,1,20,3,0,4,1,20,9,0,0.012,NaN,8,9.95,64,NaN,NaN,NaN,NaN
4,1,20,4,0,4,1,20,10,0,0.007,NaN,21,8.92,68,NaN,NaN,NaN,NaN
4,1,20,5,0,4,1,20,11,0,0.008,NaN,20,8.17,69,NaN,NaN,NaN,NaN
4,1,20,6,0,4,1,20,12,0,0.008,NaN,17,7.59,71,NaN,NaN,NaN,NaN
