# date,PM 2.5 (ug,m3),O3 (ppm),Temperatura,Humedad rel.,Dirección viento,Velocidad viento
01,01,20,1,00,31,0.001,13.3,56,238,1.3
01,01,20,2,00,35,0.001,12.8,58,268,1.5
01,01,20,3,00,42,0.001,12.2,62,276,1.3
01,01,20,4,00,46,0.001,11.4,67,243,1.4
01,01,20,5,00,56,0.001,10.9,69,250,1.7
01,01,20,6,00,63,0.001,10.6,67,239,1.6
01,01,20,7,00,57,0.002,10.2,66,227,1.7
01,01,20,8,00,51,0.002,10.3,66,226,1.8
01,01,20,9,00,34,0.012,13.4,55,247,1.1
01,01,20,10,00,29,0.03,15.3,52,54,1.3
01,01,20,11,00,34,0.041,17.3,40,17,1.4
01,01,20,12,00,32,0.033,20.4,31,354,2.1
01,01,20,13,00,8,0.04,22,28,357,2.3
01,01,20,14,00,3,0.035,23.1,27,4,2.5
01,01,20,15,00,7,0.03,23.7,25,222,3.3
01,01,20,16,00,NaN,0.03,22.7,29,231,3.9
01,01,20,17,00,6,0.027,21.3,33,216,2.7
01,01,20,18,00,7,0.024,20,36,227,2.3
01,01,20,19,00,4,0.021,17.9,41,336,1.5
01,01,20,20,00,12,0.019,16.7,47,101,1.9
01,01,20,21,00,13,0.017,16,48,127,1.9
01,01,20,22,00,5,0.014,15.1,55,108,1.9
01,01,20,23,00,7,0.009,14.1,60,241,0.8
02,01,20,0,00,5,NaN,14.6,54,179,2.1
02,01,20,1,00,8,NaN,15.1,54,176,3
02,01,20,2,00,3,NaN,14.8,57,160,2.9
02,01,20,3,00,NaN,NaN,14.5,57,148,2.8
02,01,20,4,00,2,0.019,14.3,56,137,2.8
02,01,20,5,00,4,0.017,14,57,132,2.5
02,01,20,6,00,5,0.016,13.7,58,127,2.1
02,01,20,7,00,2,0.013,13.9,57,115,2.1
02,01,20,8,00,3,0.012,14,55,114,2.6
02,01,20,9,00,5,0.015,15.2,51,118,3.6
02,01,20,10,00,4,0.018,16.2,46,115,4.6
02,01,20,11,00,4,0.02,17.1,42,110,4.6
02,01,20,12,00,6,0.02,19,34,204,3.3
02,01,20,13,00,NaN,0.022,20.2,32,265,3.3
02,01,20,14,00,NaN,0.022,19.8,34,207,5.1
02,01,20,15,00,6,0.023,18.5,38,216,4.1
02,01,20,16,00,5,0.023,18.2,39,228,4.2
02,01,20,17,00,7,0.027,17.6,38,209,4.5
02,01,20,18,00,2,0.028,16.8,36,172,2.2
02,01,20,19,00,NaN,0.028,16.8,32,217,3.1
02,01,20,20,00,3,0.025,16.6,36,146,2.8
02,01,20,21,00,1,0.024,16.3,39,199,2.5
02,01,20,22,00,3,0.016,15.3,44,21,2.5
02,01,20,23,00,2,0.016,15.2,43,157,2.5
03,01,20,0,00,8,0.022,15.3,43,204,2.8
03,01,20,1,00,1,0.009,15.2,36,269,2.7
03,01,20,2,00,6,0.011,13.7,53,40,1.4
03,01,20,3,00,9,0.016,12.8,55,1,1.3
03,01,20,4,00,2,0.01,12,55,221,1.2
03,01,20,5,00,5,0.011,11.1,43,223,2.2
03,01,20,6,00,4,0.014,10.7,47,224,1.9
03,01,20,7,00,4,0.005,9.8,50,201,1.6
03,01,20,8,00,5,0.002,9.6,49,219,1.9
03,01,20,9,00,5,0.009,11.4,37,227,1.1
03,01,20,10,00,7,0.011,13.6,33,48,1.1
